brand_id,brand_name_en,brand_name_ar,brand_name_ku,category_id,sort,description_en,description_ar,description_ku
27,Toyota,تويوتا,تۆیۆتا,1,120,,,
8,Mercedes-Benz,مرسيدس بنز,مێرسێدس بێنز,1,116,,,
47,Kia,كيا,کیا,1,114,,,
56,BYD,بي واي دي,بی وای دی,1,113,,,
81,HAVAL,هافال,هەڤاڵ,1,112,,,
85,GAC,جي أي سي,جی ئەی سی,1,111,,,
158,OMODA,أومودا,ئۆمۆدا,1,109,,,
159,JAECOO,جايكو,جایکۆ,1,108,,,
128,TANK,تانك,تانک,1,106,,,
26,Volkswagen,فولكسفاغن,ڤۆڵکسواگن,1,105,,,
112,Soueast,سوئیست,ساوئیست,1,104,,,
4,Mitsubishi,ميتسوبيشي,میتسوبیشی,1,102,,,
84,Geely,جيلي,جیلی,1,101,,,
72,Jaguar,جاكوار,جاگوار,1,100,,,
77,Hyundai,هيونداي,هیۆندای,1,99,,,
19,Land Rover,لاند روفر,لاند ڕۆڤەر,1,98,,,
51,Chevrolet,شيفروليه,شێڤرۆلێت,1,97,,,
68,Dodge,دودج,دۆج,1,96,,,
55,Cadillac,كاديلاك,کادیلاک,1,94,,,
18,Lexus,لكزس,لێکزس,1,92,,,
71,Jeep,جيب,جیپ,1,90,,,
34,Skoda,سكودا,سکۆدا,1,87,,,
2,Nissan,نيسان,نیسان,1,0,,,
5,Mini,ميني,مینی,1,0,,,
6,MG,ام جي,ئێم جی,1,0,,,
7,Mercury,ميركوري,مێرکوری,1,0,,,
9,McLaren,مكلارين,ماکلارن,1,0,,,
10,Mazda,مازدا,مازدا,1,0,,,
11,Maybach,مایباخ,مایباخ,1,0,,,
12,Maxus,ماكسس,ماکسس,1,0,,,
13,Maserati,مازيراتي,ماسێراتی,1,0,,,
17,Lincoln,لينكولن,لینکۆڵن,1,0,,,
20,Lamborghini,لامبورغيني,لامبۆرگینی,1,0,,,
23,Opel,اوبل,ئۆپڵ,1,0,,,
25,Volvo,فولفو,ڤۆڵڤۆ,1,0,,,
28,Tesla,تسلا,تێسلا,1,0,,,
29,Tata,تاتا,تاتا,1,0,,,
30,Suzuki,سوزوكي,سوزوکی,1,0,,,
31,Subaru,سوبارو,سوبارو,1,0,,,
32,Ssangyong,سانغ يونغ,سانگ یۆنگ,1,0,,,
35,Seat,سيات,سیات,1,0,,,
36,Saab,ساب,ساب,1,0,,,
37,Rolls Royce,رولز رويس,ڕۆڵس ڕۆیس,1,0,,,
38,Renault,رينو,رینۆ,1,0,,,
39,Ram,رام,ڕام,1,0,,,
40,Proton,بروتون,پرۆتۆن,1,0,,,
41,Porsche,بورش,پۆڕش,1,0,,,
43,Peugeot,بيجو,بیجۆ,1,0,,,
46,King Long,كينغ لونغ,کینگ لۆنگ,1,0,,,
48,CMC,سی ام سی,سی ئێم سی,1,0,,,
49,Citroen,سيتروين,سیترۆن,1,0,,,
50,Chrysler,كرايسلر,کرایسلەر,1,0,,,
52,Chery,شيري,شێری,1,0,,,
53,Changan,شانجان,چانگان,1,0,,,
57,Bugatti,بوجاتي,بوگاتی,1,0,,,
58,Brilliance,بريليانس,بریلیانس,1,0,,,
59,Borgward,بورجوارد,بۆرگوارد,1,0,,,
60,BMW,بي ام دبليو,بی ئێم دەبڵیو,1,0,,,
61,Bentley,بينتلي,بێنتلی,1,0,,,
62,BAIC,بايك,بایک,1,0,,,
63,Audi,اودي,ئاودی,1,0,,,
64,Aston Martin,استون مارتن,ئەستۆن مارتن,1,0,,,
65,Alfa Romeo,الفا روميو,ئەلفا رۆمیۆ,1,0,,,
66,Acura,أكورا,ئاکورا,1,0,,,
67,Daihatsu,دايهاتسو,دایهاتسو,1,0,,,
69,Dongfeng,دونج فينج,دۆنگ فینگ,1,0,,,
70,FAW,فاو,فاو,1,0,,,
73,JAC,جاك,جاک,1,0,,,
74,Isuzu,اسوزو,ئاسوزو,1,0,,,
76,Infiniti,إنفينيتي,ئینفینیتی,1,0,,,
78,Hummer,همر,هەمەر,1,0,,,
79,Honda,هوندا,هۆندا,1,0,,,
82,GMC,جي ام سي,جی ئێم سی,1,0,,,
83,Genesis,جنسس,جێنسس,1,0,,,
86,Foton,فوتون,فۆتۆن,1,0,,,
87,Ford,فورد,فۆرد,1,0,,,
89,Fiat,فيات,فیات,1,0,,,
90,Ferrari,فراري,فێراری,1,0,,,
91,GWM,GWM,GWM,1,0,,,
92,Zotye,زوتي,زۆتی,1,0,,,
93,Hawtai,هاوتاي,هاوتای,1,0,,,
94,Mitsuoka,ميتسوكا,میتسوکا,1,0,,,
95,UAZ,واز,واز,1,0,,,
96,KAWEI,كاويي,کاوەی,1,0,,,
97,ZX AUTO,ZX أوتو,ZX ئۆتۆ,1,0,,,
98,Polaris,بولاريس,پۆلاریس,1,0,,,
99,Smart,سمارت,سمارت,1,0,,,
100,Jetour,جيتور,جیتۆر,1,0,,,
101,Haima,هيما,هەیما,1,0,,,
102,Buick,بويك,بیوک,1,0,,,
103,Bestune,بيستون,بێستون,1,0,,,
104,Pontiac,بونتياك,پۆنتیاک,1,0,,,
105,Hongqi,هونشي,هۆنگچی,1,0,,,
106,Karry,كاري,کاری,1,0,,,
107,Lifan,ليفان,ليفان,1,0,,,
108,KAIYI,كايي,کای,1,0,,,
109,Saipa,سايبا,سایپا,1,0,,,
111,Renault Samsung Motors,رينو سامسونج موتورس,رینۆ سامسۆنگ مۆتۆرس,1,0,,,
113,Daewoo,دايو,دایۆ,1,0,,,
114,Iran Khodro,إيران خودرو,ئێران خودرۆ,1,0,,,
115,Ineos,إنيوس,ئینیۆس,1,0,,,
116,Zimmer,زيمر,زیمەر,1,0,,,
117,GAZ,GAZ,GAZ,1,0,,,
118,Avatr,أفاتر,ئاڤاتر,1,0,,,
119,XEV,إكس إي في,ئێکس ئی ڤی,1,0,,,
120,Hafei,هافي,هافێی,1,0,,,
121,Jonway,جونواي,جۆنوەی,1,0,,,
122,Jinbei,جينبي,جینبەی,1,0,,,
123,Higer,هايجر,هیگەر,1,0,,,
125,Rox,روكس,ڕۆکس,1,0,,,
126,POER,باور,پۆیر,1,0,,,
127,ORA,اورا,ئۆرا,1,0,,,
129,Polestar,بولستار,پۆلستار,1,0,,,
130,Saturn,ساتورن,ساتورن,1,0,,,
131,Lada,لادا,لادا,1,0,,,
132,Austin,أوستن,ئۆستن,1,0,,,
133,Huanghai,هوانغهاي,هوانگهای,1,0,,,
135,Zyle Daewoo Commercial Vehicle,زايل دايوو كوميرشال فيهيكلز,زایل دایوو کۆمێرشیاڵ ڤیەکڵس,1,0,,,
136,SWM Motors,SWM موتورس,SWM مۆتۆرس,1,0,,,
