brand_id,brand_name_en,model_id,model_name_en,trim_id,trim_name
66,Acura,1503,ILX,,
66,Acura,1322,Integra,,
66,Acura,611,MDX,,
66,Acura,612,NSX,,
66,Acura,1079,RDX,,
66,Acura,610,TLX,,
65,Alfa Romeo,614,147,,
65,Alfa Romeo,621,156,,
65,Alfa Romeo,622,159,,
65,Alfa Romeo,626,166,,
65,Alfa Romeo,627,4C,,
65,Alfa Romeo,615,Brera,,
65,Alfa Romeo,625,GT Coupe,,
65,Alfa Romeo,619,Giulia,,
65,Alfa Romeo,620,Giulia Quadrifoglio,,
65,Alfa Romeo,613,Giulietta,,
65,Alfa Romeo,616,Giulietta QV,,
65,Alfa Romeo,617,Mito,,
65,Alfa Romeo,618,Spider,,
65,Alfa Romeo,623,Stelvio,,
65,Alfa Romeo,624,Stelvio Quadrifoglio,,
64,Aston Martin,632,DB11,,
64,Aston Martin,629,DB11 Volante,,
64,Aston Martin,604,DB7,,
64,Aston Martin,579,DB9,,
64,Aston Martin,631,DB9 Volante,,
64,Aston Martin,607,DBS,,
64,Aston Martin,1242,DBX,,
64,Aston Martin,580,One-77,,
64,Aston Martin,628,Rapide,,
64,Aston Martin,583,V12 Vantage,,
64,Aston Martin,581,V12 Vantage Roadster,,
64,Aston Martin,633,V8 Vantage,,
64,Aston Martin,582,V8 Vantage Roadster,,
64,Aston Martin,1401,V8 Vantage S,,
64,Aston Martin,606,Vanquish,,
64,Aston Martin,630,Vanquish Volante,,
64,Aston Martin,584,Zagato,,
63,Audi,1317,80,,
63,Audi,591,A1,,
63,Audi,593,A3,6523,Premium Plus
63,Audi,593,A3,5077,S-line
63,Audi,593,A3,5074,TFSI
63,Audi,589,A4,5067,S-Line
63,Audi,589,A4,5068,Standard
63,Audi,589,A4,5065,TFSI
63,Audi,599,A5,5122,Premium Plus
63,Audi,599,A5,5120,Standard
63,Audi,587,A6,5861,Premium Plus
63,Audi,587,A6,5061,S-Line
63,Audi,587,A6,5064,TFSI
63,Audi,594,A7,5081,S-Line
63,Audi,585,A8,5060,TFSI
63,Audi,673,Q2,,
63,Audi,605,Q3,5098,S-Line
63,Audi,1450,Q4 e-tron,,
63,Audi,635,Q5,5102,Standard
63,Audi,596,Q7,6129,Premium Plus
63,Audi,596,Q7,5088,S-Line
63,Audi,596,Q7,5536,SQ7
63,Audi,596,Q7,5087,Standard
63,Audi,597,Q8,5962,Premium Plus S-Line
63,Audi,668,R8,,
63,Audi,1567,RS e-tron,,
63,Audi,1687,RS3,,
63,Audi,600,RS5,,
63,Audi,666,RS6,,
63,Audi,1463,RS7,,
63,Audi,1515,RSQ8,,
63,Audi,1187,S4,,
63,Audi,601,S5,,
63,Audi,636,S6,,
63,Audi,595,S7,,
63,Audi,586,S8,,
63,Audi,1499,SQ5,,
63,Audi,1498,SQ5 Sportback,,
63,Audi,1202,SQ8,,
63,Audi,669,TT,5110,S-Line
132,Austin,1790,12,,
132,Austin,1528,A55 Cambridge,,
132,Austin,1752,Sprite,,
118,Avatr,1736,07,,
118,Avatr,1446,11,,
118,Avatr,1308,12,,
62,BAIC,675,A1 Hatchback,,
62,BAIC,677,A1 Sedan,,
62,BAIC,1313,A315,,
62,BAIC,676,A5 Sedan,,
62,BAIC,1293,BJ20,,
62,BAIC,1688,BJ30e,,
62,BAIC,1021,BJ40L,,
62,BAIC,1695,BJ60,,
62,BAIC,1249,BJ80,,
62,BAIC,1330,D20,,
62,BAIC,1235,D50,,
62,BAIC,1376,Q35,,
62,BAIC,1129,Senova X65,,
62,BAIC,1222,U5 PLUS,6747,Honor
62,BAIC,1222,U5 PLUS,6748,Luxury 
62,BAIC,1128,X25,,
62,BAIC,1223,X3,,
62,BAIC,1080,X35,,
62,BAIC,1357,X55,,
62,BAIC,1397,X7,6894,Elite
62,BAIC,1397,X7,6892,Honor
62,BAIC,1397,X7,6893,Luxury
147,BAW,1641,F7 Pick up,,
60,BMW,688,1-Series,4744,116i
60,BMW,577,2-Series,4672,228i
60,BMW,577,2-Series,4671,230i
60,BMW,577,2-Series,4669,240i
60,BMW,656,3-Series,4699,320i
60,BMW,656,3-Series,4698,323i
60,BMW,656,3-Series,4703,328i
60,BMW,656,3-Series,5713,330e
60,BMW,656,3-Series,4702,330i
60,BMW,656,3-Series,4706,340i
60,BMW,656,3-Series,6137,E36
60,BMW,656,3-Series,4705,M3
60,BMW,656,3-Series,5485,M340i
60,BMW,652,4-Series,4696,428i
60,BMW,652,4-Series,4695,430i
60,BMW,652,4-Series,6148,430i Gran Coupe M Sport
60,BMW,652,4-Series,4694,435i
60,BMW,652,4-Series,4693,440i
60,BMW,652,4-Series,4692,M4
60,BMW,640,5-Series,4677,520i
60,BMW,640,5-Series,4678,523i
60,BMW,640,5-Series,6650,525Li
60,BMW,640,5-Series,4685,525i
60,BMW,640,5-Series,4684,528i
60,BMW,640,5-Series,5528,530d
60,BMW,640,5-Series,5877,530e
60,BMW,640,5-Series,4683,530i
60,BMW,640,5-Series,4682,535i
60,BMW,640,5-Series,4681,540i
60,BMW,640,5-Series,4680,550i
60,BMW,640,5-Series,4679,M5
60,BMW,640,5-Series,5948,M550i
60,BMW,662,6-Series,4729,630i
60,BMW,662,6-Series,4728,640i
60,BMW,662,6-Series,4726,650i
60,BMW,662,6-Series,4725,M6
60,BMW,665,7-Series,6596,730Li 
60,BMW,665,7-Series,4732,730i
60,BMW,665,7-Series,4731,735i
60,BMW,665,7-Series,4737,740i
60,BMW,665,7-Series,4736,745
60,BMW,665,7-Series,4735,750i
60,BMW,665,7-Series,6118,760i
60,BMW,665,7-Series,6123,760i xDrive Entertainment
60,BMW,689,8-Series,4747,850i
60,BMW,689,8-Series,5723,M8
60,BMW,689,8-Series,5980,M850i xDrive
60,BMW,547,X1,4665,sDrive20i
60,BMW,547,X1,4667,sDrive28i
60,BMW,547,X1,4666,xDrive28i
60,BMW,492,X2,4663,sDrive28i
60,BMW,492,X2,4662,xDrive 28i
60,BMW,492,X2,6399,xDrive20i 
60,BMW,659,X3,4711,30i
60,BMW,659,X3,4708,X3M
60,BMW,659,X3,6138,sDrive30i
60,BMW,659,X3,4713,xDrive20i
60,BMW,659,X3,6124,xDrive30i
60,BMW,660,X4,4718,xDrive28i
60,BMW,660,X4,4717,xDrive30i
60,BMW,660,X4,6122,xDrive30i M Sport
60,BMW,644,X5,4688,40i
60,BMW,644,X5,6189,M Competition
60,BMW,644,X5,4686,X5M
60,BMW,644,X5,6316,sDrive40i
60,BMW,644,X5,4690,xDrive30d
60,BMW,644,X5,4691,xDrive30i
60,BMW,644,X5,6162,xDrive40i
60,BMW,644,X5,6119,xDrive40i M Sport
60,BMW,644,X5,5775,xDrive45e
60,BMW,637,X6,6520, M Competition
60,BMW,637,X6,4676,M
60,BMW,637,X6,5949,M50i
60,BMW,637,X6,5946,M60i
60,BMW,637,X6,5412,xDrive30d
60,BMW,637,X6,4674,xDrive35i
60,BMW,637,X6,4675,xDrive40i
60,BMW,637,X6,4673,xDrive50i
60,BMW,691,X7,4749,M50i
60,BMW,691,X7,6080,M60i
60,BMW,691,X7,4751,xDrive40i
60,BMW,1161,XM,6350,Label
60,BMW,1529,Z3,,
60,BMW,661,Z4,,
60,BMW,1261,i3,,
60,BMW,1352,i4,6526,eDrive35
60,BMW,1352,i4,6720,eDrive40
60,BMW,1347,i5,6113,eDrive40 M Sport package
60,BMW,578,i8,,
60,BMW,1334,iX,,
60,BMW,1349,iX1,,
60,BMW,1510,iX3,,
56,BYD,1598,ATTO 3,6580,Type 20
56,BYD,1694,ATTO 8,6781,Type 10
56,BYD,1694,ATTO 8,6752,Type 30 
56,BYD,1547,Destroyer 05,,
56,BYD,996,F0,,
56,BYD,1355,F1,,
56,BYD,502,F3,,
56,BYD,503,F6,,
56,BYD,1000,G3,,
56,BYD,1595,HAN,6587,Flagship
56,BYD,1595,HAN,6571,Premium
56,BYD,1693,Leopard 3,,
56,BYD,1631,Leopard 5,,
56,BYD,1681,Leopard 7,,
56,BYD,1683,Leopard 8,,
56,BYD,1762,M9,,
56,BYD,1573,QIN L DM-i,,
56,BYD,1493,Qin Plus,6578,Type 10 
56,BYD,1493,Qin Plus,6577,Type 20 
56,BYD,1493,Qin Plus,6576,Type 30 
56,BYD,1476,S6,,
56,BYD,1597,SEAL 7,6780,Type 10
56,BYD,1597,SEAL 7,6779,Type 20
56,BYD,1599,SEAL EV,6585,Comfort
56,BYD,1599,SEAL EV,6584,Luxury
56,BYD,1596,SEALION 7,6572,AWD
56,BYD,1559,SONG PLUS,6581,AWD Type 10
56,BYD,1559,SONG PLUS,6582,Type 40
56,BYD,1578,SONG PRO DM-i,,
56,BYD,1356,Seagull,,
56,BYD,1548,Seal 05 DM-i,6953,Flagship
56,BYD,1633,Seal 6,6943,Type 20
56,BYD,1634,Sealion 05 DM-i,,
56,BYD,1644,Sealion 06 DM-i,,
56,BYD,1733,Sealion 5,,
56,BYD,1662,Shark 6,6688,Flagship 
56,BYD,1650,Song L DM-i,,
56,BYD,1744,Tang,,
56,BYD,1664,Tang L,,
56,BYD,1781,Ti 7,6942,Type 20
56,BYD,1590,e2,,
61,Bentley,685,Arnage,,
61,Bentley,679,Azure,,
61,Bentley,687,Bentayga,,
61,Bentley,681,Brooklands,,
61,Bentley,682,Continental,,
61,Bentley,680,Continental GT,,
61,Bentley,678,Continental GTC,,
61,Bentley,683,Flying Spur,,
61,Bentley,684,Mulsanne,,
103,Bestune,1113,B70,,
103,Bestune,1183,B70S,5972,Limo
103,Bestune,1759,E07,,
103,Bestune,1489,Pony,,
103,Bestune,1185,T55,5973,Limousin
103,Bestune,1115,T77,5792,Premium
103,Bestune,1114,T99,,
59,Borgward,494,BX5,,
59,Borgward,493,BX7,,
58,Brilliance,1150,BS2,,
58,Brilliance,1523,BS4,,
