model_id,brand_id,brand_name_en,model_name_en,model_name_ar,model_name_ku,sort,from_year_id,to_year_id,segment_id,sub_segment_id,deleted
253,27,Toyota,Hilux,هايلوكس,هایلۆکس,300,18,,,,False
245,27,Toyota,Corolla,كورولا,کۆرۆلا,298,16,,,,False
249,27,Toyota,Land Cruiser,لاندكروزر,لاند کروزەر,296,1,,,,False
254,27,Toyota,Camry,كامري,کامری,294,32,,,,False
933,27,Toyota,Crown,كراون,کراون,292,5,,,,False
257,27,Toyota,RAV4,راف 4,ڕاڤ 4,290,44,,,,False
288,27,Toyota,Land Cruiser Prado,لاندكروزر برادو,لاندكروزر پرادۆ,288,34,,,,False
1011,27,Toyota,Corolla Cross,كورولا كروس,کۆرۆلا کرۆس,286,70,,,,False
1184,27,Toyota,Urban Cruiser,أوربان كروزر,ئۆربان کرۆزەر,284,58,,,,False
322,27,Toyota,Yaris,يارس,یارس,282,49,,,,False
1468,27,Toyota,Corolla Hatchback,كورولا هاتشباك,کرۆلا هاچباک,281,69,,,,False
1267,27,Toyota,Frontlander,فرونتلاندر,فرۆنتلاندەر,280,71,,,,False
241,27,Toyota,Hiace,هايس,هیاس,278,17,,,,False
934,27,Toyota,Highlander,هايلاندر,هایلاندەر,270,51,,,,False
289,27,Toyota,Avalon,أفالون,ئەڤەلۆن,267,44,,,,False
242,27,Toyota,Prius,بريوس,پریوس,265,47,,,,False
286,27,Toyota,Fortuner,فورجنر,فۆرچێنەر,245,54,,,,False
246,27,Toyota,Rush,رش,ڕەش,240,56,,,,False
250,27,Toyota,Sequoia,سيكويا,سیکۆیا,235,51,,,,False
1338,27,Toyota,Grand Highlander,جراند هايلاندر,گراند هایلاندەر,230,74,,,,False
1134,27,Toyota,Land Cruiser 76,لاند كروزر 76,لاند کرۆزەر 76,225,57,,,,False
1396,27,Toyota,Yaris iA,يارس آي أ,یاریس ئای ئەی,220,67,68,,,False
1230,27,Toyota,Mark II,II مارك,II مارک,210,18,54,,,False
1350,27,Toyota,Chaser,شايسر,چەیسەر,205,27,51,,,False
938,27,Toyota,Tacoma,تاكوما,تاکۆما,195,45,,,,False
937,27,Toyota,Sienna,سيينا,سیانا,190,48,,,,False
940,27,Toyota,Venza,فنزا,ڤێنزا,180,59,76,,,False
931,27,Toyota,CH-R,سي اتش ار,CH-R,170,66,,,,False
256,27,Toyota,FJ Cruiser,إف جي كروزر,FJ کرۆزەر,100,28,74,,,False
939,27,Toyota,Tundra,توندرا,توندرا,84,50,,,,False
287,27,Toyota,Land Cruiser 70,لاند كروزر 70,لاند کرۆزەر 70,82,34,,,,False
248,27,Toyota,Land Cruiser 70 Pickup,لاند كروزر 70 بيك اب,لاند کرۆزەر ٧٠ پیکاپ,80,34,,,,False
251,27,Toyota,Avanza,افانزا,ئەڤانزا,78,65,,,,False
928,27,Toyota,4Runner,4رنر,4رەنەر,55,34,,,,False
1255,27,Toyota,Alphard,ألفارد,ئەلفەرد,0,52,,,,False
1294,27,Toyota,Aristo,أريستو,ئەرستۆ,0,41,55,,,False
255,27,Toyota,Aurion,أوريون,ئۆریۆن,0,56,67,,,False
929,27,Toyota,Auris,اورس,ئەوریس,0,56,70,,,False
930,27,Toyota,Avensis,افنسز,ئەڤێنسز,0,47,68,,,False
1381,27,Toyota,bZ3,bZ3,bZ3,0,74,,,,False
1188,27,Toyota,bZ4X,bZ4X,bZ4X,0,72,,,,False
1697,27,Toyota,bZ5,bZ5,bZ5,0,76,,,,False
1616,27,Toyota,Caldina,کالدینا,کالدینا,0,42,57,,,False
1586,27,Toyota,Camry Solara,كامري سولارا,کامری سۆلارا,0,48,58,,,False
1383,27,Toyota,Carina,كارينا,کارینا,0,20,51,,,False
1474,27,Toyota,Celica,سيليكا,سیلیکا,0,21,56,,,False
1418,27,Toyota,Celsior,سيلسيور,سێلسیۆر,0,39,56,,,False
989,27,Toyota,Coaster,كوستر,کۆستەر,0,19,,,,False
1739,27,Toyota,Corolla Fielder,كورولا فيلدر,کۆرۆلا فیڵدەر,0,50,,,,False
1530,27,Toyota,Corolla iM,كورولا iM,کرۆلا iM,0,67,68,,,False
932,27,Toyota,Corona,كورونا,کرۆنا,0,7,51,,,False
1270,27,Toyota,Cresta,كريستا,کرێستا,0,30,51,,,False
1514,27,Toyota,Crown Comfort,كراون كومفورت,کراون کۆمفۆرت,0,5,68,,,False
1170,27,Toyota,Crown Kluger,كراون كلوجر,کراون کلوگەر,0,71,,,,False
1574,27,Toyota,Crown Signia,كراون سيجنيا,كراون سێگنیا,0,76,,,,False
1745,27,Toyota,Dyna,داینا,داینا,0,9,,,,False
1260,27,Toyota,Echo,إيكو,ئیکۆ,0,49,56,,,False
1724,27,Toyota,GR Corolla,GR كورولا,GR کۆرۆلا,0,74,,,,False
1236,27,Toyota,GR86,GR86,GR86,0,71,,,,False
240,27,Toyota,Granvia,جرانفيا,گرانڤیا,0,45,,,,False
321,27,Toyota,GT 86,GT 86,GT 86,0,62,,,,False
252,27,Toyota,Innova,انوفا,ئینۆڤا,0,54,,,,False
1206,27,Toyota,Ipsum,إبسم,ئیپسەم,0,45,60,,,False
935,27,Toyota,Matrix,ماتريكس,ماتریکس,0,52,64,,,False
1444,27,Toyota,Noah,نوح,نوح,0,51,,,,False
936,27,Toyota,Paseo,باسيو,پاسیۆ,0,41,49,,,False
247,27,Toyota,Previa,بريفيا,پریڤیا,0,40,69,,,False
1425,27,Toyota,Prius C,بريوس سي,پرایس سی,0,61,71,,,False
1462,27,Toyota,Prius Prime,بريوس برايم,پرایس پرایم,0,62,,,,False
1780,27,Toyota,Proace City,برو ايس ستي,پڕۆ ئەیس سیتی,0,70,,,,False
1124,27,Toyota,Raize,رايز,ڕەیز,0,69,,,,False
1211,27,Toyota,Scion tC,سايون تي سي,ساێۆن تی سی,0,54,66,,,False
1252,27,Toyota,Scion xB,سايون xB,سایۆن xB,0,53,65,,,False
320,27,Toyota,Supra,سوبرا,سوپرا,0,28,,,,False
1620,27,Toyota,T100,T100,T100,0,42,48,,,False
1221,27,Toyota,Tercel,ترسل,تێرسێل,0,28,49,,,False
1423,27,Toyota,TownAce,تاون ايس,تاونئەیس,0,20,58,,,False
1580,27,Toyota,ToyoAce,تويوإيس,تۆیۆئیس,0,4,76,,,False
1427,27,Toyota,Veloz,فيلوز,ڤێلۆز,0,71,,,,False
1408,27,Toyota,Voxy,فوكسي,ڤۆکسی,0,51,81,,,False
991,27,Toyota,Wigo,ويجو,ویگۆ,0,64,,,,False
1399,27,Toyota,Wish,ويش,ویش,0,53,67,,,False
323,27,Toyota,xA,xA,xA,0,53,56,,,False
1360,27,Toyota,Yaris Cross,ياريس كروس,یاریس کرۆس,0,70,,,,False
243,27,Toyota,Zelas,زلاس,زێلاس,0,60,66,,,False
39,8,Mercedes-Benz,E-Class,E-Class,E-Class,100,1,,,,False
9,8,Mercedes-Benz,C-Class,C-Class,C-Class,98,1,,,,False
115,8,Mercedes-Benz,S-Class,S-Class,S-Class,96,1,,,,False
43,8,Mercedes-Benz,G-Class,G-Class,G-Class,94,30,,,,False
199,8,Mercedes-Benz,CLS,CLS,CLS,92,56,,,,False
56,8,Mercedes-Benz,CLA,CLA,CLA,90,63,,,,False
46,8,Mercedes-Benz,GLE,GLE,GLE,88,65,,,,False
32,8,Mercedes-Benz,GLS,GLS,GLS,86,66,,,,False
15,8,Mercedes-Benz,GLC,GLC,GLC,84,66,,,,False
29,8,Mercedes-Benz,AMG GT,AMG GT,AMG GT,82,65,,,,False
24,8,Mercedes-Benz,A-Class,A-Class,A-Class,0,63,,,,False
36,8,Mercedes-Benz,AMG GT 4-door Coupe,اي ام جي جي تي 4 دور كوبيه,AMG GT 4-door Coupe,0,69,,,,False
191,8,Mercedes-Benz,B-Class,B-Class,B-Class,0,56,,,,False
196,8,Mercedes-Benz,CL-Class,CL-Class,CL-Class,0,51,,,,False
7,8,Mercedes-Benz,CLC-Class,سي ال سي كلاس,CLC-Class,0,59,,,,False
1460,8,Mercedes-Benz,CLE Coupe,CLE  كوبيه,CLE  کوپ,0,76,,,,False
4,8,Mercedes-Benz,CLK-Class,CLK-Class,CLK-Class,0,57,,,,False
1497,8,Mercedes-Benz,EQA,EQA,EQA,0,72,,,,False
1483,8,Mercedes-Benz,EQB,EQB,EQB,0,72,,,,False
1453,8,Mercedes-Benz,EQE Sedan,EQE سيدان,EQE سیدان,0,74,,,,False
1457,8,Mercedes-Benz,EQE SUV,EQE SUV,EQE SUV,0,74,,,,False
1400,8,Mercedes-Benz,EQS,EQS,EQS,0,71,,,,False
1289,8,Mercedes-Benz,EQV,EQV,EQV,0,70,,,,False
33,8,Mercedes-Benz,GL-Class,جي أل-كلاس,GL-Class,0,57,,,,False
5,8,Mercedes-Benz,GLA,GLA,GLA,0,65,,,,False
10,8,Mercedes-Benz,GLB,GLB,GLB,0,70,,,,False
16,8,Mercedes-Benz,GLC-Class Coupe,GLC-Class كوبيه,GLC-Class کوپ,0,67,,,,False
1701,8,Mercedes-Benz,GLE Coupe,GLE  كوبيه,GLE  کوپ,0,65,,,,False
17,8,Mercedes-Benz,GLK-Class,GLK-Class,GLK-Class,0,59,,,,False
48,8,Mercedes-Benz,ML-Class,ام ال- كلاس,ML-Class,0,47,65,,,False
1244,8,Mercedes-Benz,Ponton,بونتون,پۆنتۆن,0,,20,,,False
197,8,Mercedes-Benz,R-Class,R-Class,R-Class,0,56,,,,False
114,8,Mercedes-Benz,S-Class Maybach,S-Class مايباخ,S-Class مایباخ,0,52,,,,False
1279,8,Mercedes-Benz,SEC,SEC,SEC,0,36,41,,,False
53,8,Mercedes-Benz,SL-Class,اس ال كلاس,SL-Class,0,4,,,,False
20,8,Mercedes-Benz,SLC-Class,إس إل سي كلاس,SLC-Class,0,21,,,,False
22,8,Mercedes-Benz,SLK-Class,اس ال كيه كلاس,SLK-Class,0,55,,,,False
27,8,Mercedes-Benz,SLR McLaren,إس إل آر ماكلارين,SLR ماکلارن,0,54,,,,False
28,8,Mercedes-Benz,SLS AMG,SLS AMG,SLS AMG,0,60,,,,False
190,8,Mercedes-Benz,Sprinter,سبرنتر,سپرینتەر,0,43,,,,False
1069,8,Mercedes-Benz,SSK,SSK,SSK,0,75,75,,,False
1560,8,Mercedes-Benz,T-Class,T-Class,T-Class,0,72,,,,False
18,8,Mercedes-Benz,V-Class,V-Class,V-Class,0,46,,,,False
1266,8,Mercedes-Benz,V-Class Maybach,في كلاس مايباخ,V-Class مایباخ,0,,,,,False
19,8,Mercedes-Benz,Viano,فيانو,ڤیانۆ,0,54,,,,False
13,8,Mercedes-Benz,Vito,فيتو,ڤیتۆ,0,53,,,,False
957,8,Mercedes-Benz,X-Class,X-Class,X-Class,0,66,,,,False
463,47,Kia,Sorento,سورينتو,سۆرینتۆ,300,52,,,,False
768,47,Kia,Sportage,سبورتاج,سپۆرتاج,295,43,,,,False
1511,47,Kia,K4,K4,K4,291,80,,,,False
1385,47,Kia,Tasman,تسمان,تاسمان,287,80,,,,False
1227,47,Kia,K3,K3,K3,285,58,,,,False
767,47,Kia,Cerato,سيراتو,سیراتۆ,282,53,,,,False
949,47,Kia,Forte,فورتي,فۆرتێ,280,58,,,,False
1172,47,Kia,Forte5,5فورتي,5فۆرتێ,275,60,,,,False
1057,47,Kia,Sonet,سونيت,سۆنێت,265,70,,,,False
1016,47,Kia,K5,K5,K5,260,60,,,,False
1112,47,Kia,K7,K7,K7,258,59,,,,False
775,47,Kia,Optima,اوبتيما,ئۆپتیما,255,50,,,,False
1139,47,Kia,K8,K8,K8,252,71,,,,False
1144,47,Kia,Niro,نيرو,نیرۆ,250,66,,,,False
771,47,Kia,K900,K900,K900,247,62,,,,False
147,47,Kia,Rio,ريو,ریۆ,245,49,,,,False
765,47,Kia,Soul,سول,سۆڵ,240,59,,,,False
461,47,Kia,Picanto,بيكانتو,پیکانتۆ,235,54,,,,False
774,47,Kia,Carens,كارينز,کارینس,230,57,,,,False
770,47,Kia,Cadenza,كادينزا,کادێنزا,225,59,,,,False
1449,47,Kia,EV5,EV5,EV5,220,74,,,,False
1208,47,Kia,EV6,EV6,EV6,215,71,,,,False
1320,47,Kia,EV9,EV9,EV9,210,74,,,,False
148,47,Kia,Seltos,سلتوس,سێلتۆس,200,70,,,,False
777,47,Kia,Mohave,موهافي,مۆهاڤی,195,59,,,,False
462,47,Kia,Telluride,تيلوريد,تێلوراید,185,70,,,,False
773,47,Kia,Quoris,كوريس,کۆریس,120,63,,,,False
769,47,Kia,Carnival,كرنفال,کەرنیڤاڵ,89,48,,,,False
776,47,Kia,Stinger,ستينغر,ستینگەر,80,68,,,,False
1204,47,Kia,Besta,بيستا,بێستا,0,44,,,,False
1038,47,Kia,Bongo,بونكو,بۆنگۆ,0,40,,,,False
977,47,Kia,Ceed,سيد,سیید,0,56,,,,False
1690,47,Kia,Concord,كونكورد,کۆنکۆرد,0,37,46,,,False
